6.2,1.5 33.2
8.4,23.5 32.8
5.7,7.9 22.7
7.2,2.3 18.2
5.5,0.7 21.1
13.3,7.5 11.4
2.7,28.2 6.5
8.6,7.5 29
7.2,8.2 11.1
5,10.5 13.6
2.1,0.2 18.3
4.2,8.1 21.3
3.9,2 33.1
4.1,10.8 38.3
4.2,1.9 36.9
9.4,-1.4 22.4
3.6,-0.3 19.6
7.6,5.5 29.1
8.5,4.8 32.8
4.5,2.3 26.5
4.1,16.3 41.5
4.6,88.6 39
7.2,3 20.2
13.4,7.1 20.4
10.3,1.4 29.8
9.4,4.6 26
2.5,-3.3 27.6
10.3,-0.5 31.8
7.5,22.3 28.6
18.7,6.2 29.7
5.1,-2 23.8
3.7,19.6 12.3
10.3,3 31.1
7.3,12.2 32.9
4.2,7 22.1
2.1,5.4 27.1
2.5,2.8 20.3
8.1,8.5 30
10.3,-1.9 15.9
10.5,2.8 36.4
5.8,24.2 33.4
6.9,2.9 20.7
9.3,4.9 34.9
11.4,2.6 38.7
